split,object_id,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
train,screen_2,Screen,45.0,5034,0.5829327149325674,0.7638660482117274,0.030122972636538292,-0.008105588493431114,1.5535567168639097,0.9564958283671037
train,screen_2,Screen,60.0,4857,0.5828710118860229,0.7636595064428883,0.03062149672217851,-0.012822366487135915,1.6426363026954467,0.958616429894997
train,screen_2,Screen,90.0,4517,0.5890641072482513,0.7819474078349953,0.02519871111937244,-0.026965903254742147,1.7581378899976505,0.9559442107593535
train,screen_2,Screen,120.0,4191,0.5529730004083357,0.7348579922373214,0.02499418243810747,0.0034363732760455947,1.7560101622225675,0.9623001670245764
train,window_1,Window,5.0,1673,0.23145730468140818,0.33383592986384925,0.8449616104023517,0.010887140178700258,1.2883782731122224,0.9575612671846981
train,window_1,Window,10.0,1696,0.24739099539482434,0.36396858878938604,0.8248280214249746,-0.005787141305557504,1.304710130622457,0.9599056603773585
train,window_1,Window,15.0,1666,0.24987722244813274,0.35324717326653476,0.8345474387164623,-0.001033874469072871,1.3229292426081976,0.9591836734693877
train,window_1,Window,20.0,1630,0.26024814543869795,0.37345580201468237,0.8161969651366934,0.005112606699145543,1.3478494035031345,0.9619631901840491
train,window_1,Window,30.0,1574,0.2663247112108954,0.38049385424199533,0.8085909185070828,0.004870622964730249,1.360729770705877,0.9555273189326556
train,window_1,Window,45.0,1507,0.2603765123749493,0.3624079109488698,0.8263241619292875,-0.002521172403074128,1.3692584244611445,0.960185799601858
train,window_1,Window,60.0,1438,0.25623022001575346,0.3555065930865672,0.8365066711381803,-0.001831155726111316,1.4070055452475916,0.9568845618915159
train,window_1,Window,90.0,1372,0.2613040975504686,0.37797527211864573,0.8238800478854301,-0.006589348150607789,1.4901071761246267,0.956997084548105
train,window_1,Window,120.0,1230,0.25938837542168597,0.3591965042410223,0.8331181616128346,-0.005856364095838297,1.4966544951845255,0.9585365853658536
valid,cableduct_1,Cableduct,5.0,405,1.0462385276388377,1.1392249702493351,-5.2817651925769615,-1.0462385276388377,1.9003253152539592,0.9629629629629629
valid,cableduct_1,Cableduct,10.0,414,1.0886786660692853,1.1771450109608734,-5.827388651596247,-1.0886786660692853,1.8986741268949563,0.9589371980676329
valid,cableduct_1,Cableduct,15.0,407,1.0822432104909936,1.1738886024615738,-5.580994501714146,-1.0822432104909936,1.8920854953520116,0.9508599508599509
valid,cableduct_1,Cableduct,20.0,407,1.096687530521823,1.1945295089620067,-5.2880752894622285,-1.096687530521823,1.888156207055041,0.9533169533169533
valid,cableduct_1,Cableduct,30.0,377,1.1608841200300855,1.2527094236562246,-6.030714876439264,-1.1608841200300855,1.9112979053788237,0.9442970822281167
valid,cableduct_1,Cableduct,45.0,337,1.1331486894855265,1.223364236745639,-6.052216187925935,-1.1331486894855265,1.9285448259131772,0.9584569732937686
